Date,State,District,Mine_Name,Latitude,Longitude,CO2_ppm,CH4_ppm,PM2_5,PM10,SO2_ppm,NOx_ppm,Temperature_C,Humidity_%,Wind_Speed_m/s,Rainfall_mm,Mine_Depth_m,Coal_Output_ton/day,Operation_Shift_Hours,Energy_Consumed_MWh,Emission_Index,Carbon_Offset_Trees,CH4_to_Ethanol_Liters,CO2_to_Biogas_Liters,Anomaly_Score,Forecast_Emission,Carbon_Credits_Potential_INR,Reforestation_Area_ha,Health_Risk_Index
2022-01-31,Chhattisgarh,Korba,Gevra,22.331,82.614,419.179547944477,1.9628461667406654,48.634162303091394,210.54103041229797,23.749034267929048,39.0294648906696,45.601070456321395,71.71327993661421,3.375848558458848,6.775265670060052,80,8970,20,5906.584860263398,15.447929988816949,10,407.1167460702201,75966.20855560734,0,15.204375243348187,918.5767272421344,1.9526189597376507,34.259387677190894
2022-12-30,Chhattisgarh,Korba,Kusmunda,22.25,82.52,437.2728837231665,2.0912516073820604,34.49881662758529,166.99942296466324,20.789828718009872,29.203019330485454,32.653251903671475,73.79500875200533,1.8316487452943702,7.5751402719417475,140,7760,16,4054.6997302286986,-4.598557339346147,12,431.43574205674696,70640.59097609401,0,-4.653290413504016,-331.51764351343047,1.6654894243942406,22.54660530656919
2021-05-10,Chhattisgarh,Korba,Dipka,22.418,82.721,439.32296210322613,2.1549895112327526,60.88123838079744,114.78899907683389,11.14486798043945,25.306979706288868,32.59180025471749,69.97346318924795,2.9855786075232857,0.09575186701745775,55,12724,24,9686.650334546563,9.290411966084475,6,894.3966103992868,115988.44265427245,0,9.92334515379675,574.2234242466069,1.1330890911191323,21.006442719217084
2022-07-18,Chhattisgarh,Raigarh,Jampali,21.977,83.352,395.14526497269276,1.758244308762645,14.892300142863387,31.069815341258263,16.477993472826785,23.859323022721387,30.655837783235768,69.97614491957967,2.7859318952207737,6.3048421636811955,200,10714,16,6606.964724006597,9.790760992222381,4,425.3826036795988,72610.00159255882,0,9.630249858836219,629.5925158717281,1.1660556944084541,24.687234467942467
2022-02-04,Chhattisgarh,Raigarh,Dharamjaigarh,22.308,83.285,433.7085434811532,1.770433986714874,34.78277642217887,171.9396492528229,16.978400706403647,46.750650393485415,36.26089721619069,75.8758098912792,1.6284920146809387,6.644353125226953,80,9930,24,5452.052653933839,7.67333843559169,1,424.007866211973,69143.30320263267,0,7.90900448141155,537.7808482210243,0.7966695875029346,27.24373213592883
2021-12-31,Chhattisgarh,Surguja,Bhatgaon,23.037,82.857,416.251354137129,1.8831695237091335,59.221984006282824,141.75790611842345,11.655449521612878,23.861625768620577,37.189411825930414,41.366038191886744,2.559692588415895,4.632788929123942,80,7815,20,5304.003845475811,18.974623193303657,1,427.66478965759393,74836.92943342603,0,19.07492328595176,1045.1498146718764,1.1415729124530314,24.75928644633634
2023-09-21,Jharkhand,Dhanbad,Jharia,23.77,86.42,450.76644489968663,1.8196275731932081,19.15328313162689,170.72755590743031,8.574165119032049,25.05517685855513,33.731626430160844,63.0534488361524,3.8115960821089816,1.5281588214794315,200,11024,16,6030.27415952079,21.890398278028503,7,455.4051942564522,90309.84849732916,0,23.55569396667071,1386.164450235685,0.8205364113364735,20.362830282775928
2021-11-10,Jharkhand,Dhanbad,Bhowra,23.75,86.43,408.4273331930034,1.955615754809598,48.39724259995337,52.09529483151422,12.20956236845694,22.61315675901403,26.794990084040688,70.43186884949381,2.695670309814018,8.129399511633057,80,10952,20,8625.850937164674,6.357314369111494,14,581.29632198942,94375.24904840872,0,6.225022211235678,400.2176321760198,1.614280810393664,32.36679661856406
2023-06-27,Jharkhand,Bokaro,Kargali,23.82,85.92,458.634531190693,1.9283190414250433,77.62003427631527,98.29968219100965,19.558891250631298,28.28663028136719,40.10919779078411,41.79880678341243,1.785299597568123,10.061191310906837,55,9763,20,5920.289329082637,18.0006031835485,3,450.63969772828017,93922.47579231253,0,19.52447704617992,1369.8432621234037,0.9756979871458521,47.771374211292624
2019-05-02,Jharkhand,Bokaro,Kathara,23.91,85.92,403.27015053620994,1.7047858814367385,75.58908748682292,123.15830023424726,17.11421646829776,36.182095845526966,9.66490735349349,69.25217431961416,2.067282370853957,2.186327069523475,55,12793,24,7714.942621574437,18.95860525784879,12,523.9478750054731,97060.8515908047,0,19.474723762338556,1071.630820809023,2.969790714219631,57.658702446227274
2020-04-11,Jharkhand,Ramgarh,Rajrappa,23.68,85.54,408.6676005535151,1.962051535466495,39.382371599240905,121.90413080005828,15.553476485256656,31.275150157556013,7.69202852727814,65.76448265653022,2.3207552795483473,1.944198674458868,80,10074,20,7416.669294181305,30.42451043097865,1,570.970332113475,73966.79708855641,0,33.13014630706117,1897.8490118123261,1.472359500836829,30.61284046628872
2022-05-23,Odisha,Angul,Talcher,20.95,85.23,440.5851784569979,2.0906880266277788,95.56335957981227,98.28927726983541,8.353863796001725,28.460836153164088,22.384039810023197,80.26548998967496,2.4017473727383374,2.3901556228032312,80,9067,16,7971.396861249246,6.5515113579296,22,564.7759859930562,66607.87654772276,0,7.19352583901245,456.3845752518803,2.021844921288184,33.04044032272475
